"category","count","book_id"
"to-read",8961,"100247"
"travel",914,"100247"
"currently-reading",774,"100247"
"non-fiction",334,"100247"
"nonfiction",108,"100247"
"favorites",106,"100247"
"adventure",50,"100247"
"philosophy",47,"100247"
"wanderlust",42,"100247"
"self-help",38,"100247"
"kindle",29,"100247"
"to-buy",25,"100247"
"self-improvement",24,"100247"
"owned",23,"100247"
"personal-development",22,"100247"
"tim-ferriss",21,"100247"
"lifestyle",20,"100247"
"ebook",17,"100247"
"travel-writing",17,"100247"
"audible",15,"100247"
"library",15,"100247"
"life",14,"100247"
"to-read-non-fiction",14,"100247"
"reference",12,"100247"
"travel-books",11,"100247"
"travelling",11,"100247"
"other",10,"100247"
"books-i-own",10,"100247"
"wish-list",10,"100247"
"recommended",9,"100247"
"vagabonding",9,"100247"
"owned-books",9,"100247"
"to-read-travel",9,"100247"
"inspirational",9,"100247"
"travel-to-read",8,"100247"
"tim-ferris",8,"100247"
"how-to",8,"100247"
"bought",7,"100247"
"audio",7,"100247"
"ferriss",7,"100247"
"travels",7,"100247"
"self",7,"100247"
"business",7,"100247"
"travelogues",7,"100247"
"favourites",7,"100247"
"general",7,"100247"
"read-in-2017",6,"100247"
"read-in-2016",6,"100247"
"read-in-english",6,"100247"
"4hww",6,"100247"
"next",6,"100247"
"read-in-2014",6,"100247"
"self-development",6,"100247"
"english",6,"100247"
"book-club",6,"100247"
"traveling",6,"100247"
"read-in-2012",6,"100247"
"spirituality",6,"100247"
"adventure-travel",6,"100247"
"read-2016",5,"100247"
"alternative-living",5,"100247"
"read-2015",5,"100247"
"tim-ferriss-book-club",5,"100247"
"tf",5,"100247"
"audiobooks",5,"100247"
"viajes",5,"100247"
"audiobook",5,"100247"
"biography",5,"100247"
"to-read-nonfiction",5,"100247"
"world-travel",5,"100247"
"biography-memoir",5,"100247"
"general-non-fiction",5,"100247"
"outdoors",5,"100247"
"travel-inspiration",5,"100247"
"inspiration",5,"100247"
"to-get",5,"100247"
"world",4,"100247"
"abandoned",4,"100247"
"read-in-2015",4,"100247"
"improvement",4,"100247"
"default",4,"100247"
"my-books",4,"100247"
"unfinished",4,"100247"
"next-up",4,"100247"
"memoir",4,"100247"
"nature",4,"100247"
"need-to-buy",4,"100247"
"travel-world",4,"100247"
"read-in-2013",4,"100247"
"didn-t-finish",4,"100247"
"non-fiction-to-read",4,"100247"
"travel-adventure",4,"100247"
"books",4,"100247"
"guide",4,"100247"
"educational",4,"100247"
"on-hold",4,"100247"
"travelogue",4,"100247"
"must-read",4,"100247"
"career",4,"100247"
"travel-guides",4,"100247"
"to-read",11049,"102030"
"currently-reading",924,"102030"
"fiction",314,"102030"
"historical-fiction",302,"102030"
"favorites",205,"102030"
"japan",194,"102030"
"classics",85,"102030"
"historical",81,"102030"
"japanese",79,"102030"
"history",70,"102030"
"owned",60,"102030"
"japanese-literature",60,"102030"
"novel",54,"102030"
"literature",40,"102030"
"samurai",33,"102030"
"classic",33,"102030"
"martial-arts",31,"102030"
"adventure",31,"102030"
"default",28,"102030"
"novels",28,"102030"
"philosophy",27,"102030"
"asia",24,"102030"
"to-buy",23,"102030"
"ebook",18,"102030"
"japanese-lit",16,"102030"
"asian",16,"102030"
"biography",15,"102030"
"books-i-own",14,"102030"
"wish-list",13,"102030"
"owned-books",12,"102030"
"favourites",12,"102030"
"epic",12,"102030"
"terjemahan",11,"102030"
"japanese-fiction",10,"102030"
"books",10,"102030"
"war",9,"102030"
"asian-literature",9,"102030"
"non-fiction",9,"102030"
"my-library",8,"102030"
"unfinished",8,"102030"
"literary-fiction",8,"102030"
"fantasy",8,"102030"
"abandoned",8,"102030"
"indonesian",7,"102030"
"kindle",7,"102030"
"general-fiction",7,"102030"
"military",7,"102030"
"shelfari-favorites",6,"102030"
"to-read-fiction",6,"102030"
"cultural",6,"102030"
"library",6,"102030"
"ebooks",6,"102030"
"musashi",6,"102030"
"translated",6,"102030"
"english",6,"102030"
"other",6,"102030"
"not-owned",5,"102030"
"romans",5,"102030"
"have",5,"102030"
"historical-novels",5,"102030"
"biographies",5,"102030"
"asian-lit",5,"102030"
"romance",5,"102030"
"to-get",5,"102030"
"japanese-authors",5,"102030"
"i-own",5,"102030"
"favorite",5,"102030"
"shelfari-wishlist",4,"102030"
"japão",4,"102030"
"literatura",4,"102030"
"gave-up",4,"102030"
"must-read",4,"102030"
"paused",4,"102030"
"oriental",4,"102030"
"j-lit",4,"102030"
"historical-novel",4,"102030"
"buddhism",4,"102030"
"did-not-finish",4,"102030"
"calibre",4,"102030"
"historical_fiction",4,"102030"
"spiritual",4,"102030"
"ficção",4,"102030"
"all-time-favorites",4,"102030"
"finished",4,"102030"
"others",4,"102030"
"recommended",4,"102030"
"asian-fiction",3,"102030"
"clássicos",3,"102030"
"adult",3,"102030"
"historique",3,"102030"
"bookshelf",3,"102030"
"favorite-books",3,"102030"
"romanzo-storico",3,"102030"
"feudal-japan",3,"102030"
"reading-list",3,"102030"
"fiction-historical",3,"102030"
"5-star",3,"102030"
"didn-t-finish",3,"102030"
"gave-up-on",3,"102030"
"historical-adventure",3,"102030"
"to-read",23482,"10335318"
"history",1507,"10335318"
"non-fiction",995,"10335318"
"currently-reading",868,"10335318"
"biography",555,"10335318"
"nonfiction",472,"10335318"
"american-history",237,"10335318"
"favorites",226,"10335318"
"book-club",213,"10335318"
"presidents",199,"10335318"
"politics",129,"10335318"
"historical",102,"10335318"
"audiobooks",90,"10335318"
"audio",88,"10335318"
"audiobook",86,"10335318"
"biographies",70,"10335318"
"true-crime",64,"10335318"
"library",59,"10335318"
"us-history",51,"10335318"
"kindle",51,"10335318"
"science",50,"10335318"
"biography-memoir",45,"10335318"
"bookclub",42,"10335318"
"crime",40,"10335318"
"us-presidents",38,"10335318"
"medicine",37,"10335318"
"19th-century",37,"10335318"
"owned",36,"10335318"
"audio-book",35,"10335318"
"audible",33,"10335318"
"presidential-biographies",32,"10335318"
"ebook",32,"10335318"
"book-group",30,"10335318"
"history-american",30,"10335318"
"assassination",29,"10335318"
"america",29,"10335318"
"american",28,"10335318"
"to-read-non-fiction",27,"10335318"
"to-buy",26,"10335318"
"wish-list",25,"10335318"
"james-garfield",24,"10335318"
"historical-non-fiction",23,"10335318"
"medical",23,"10335318"
"audio-books",22,"10335318"
"presidential-history",20,"10335318"
"history-biography",20,"10335318"
"adult-nonfiction",20,"10335318"
"books-i-own",19,"10335318"
"listened-to",19,"10335318"
"presidential",19,"10335318"
"read-in-2013",18,"10335318"
"non-fiction-to-read",18,"10335318"
"united-states",18,"10335318"
"to-read-nonfiction",18,"10335318"
